period,value
1983-01-07,39506
1983-01-14,39787
1983-01-21,40007
1983-01-28,40933
1983-02-04,42238
1983-02-11,43321
1983-02-18,43314
1983-02-25,43406
1983-03-04,42610
1983-03-11,42356
1983-03-18,41610
1983-03-25,41053
1983-04-01,39995
1983-04-08,39158
1983-04-15,39274
1983-04-29,37095
1983-05-13,35838
1983-05-20,35664
1983-06-03,35180
1983-06-10,34333
1983-06-17,36392
1983-06-24,36427
1983-07-01,38298
1983-07-08,37204
1983-07-15,36528
1983-07-22,37803
1983-07-29,38039
1983-08-05,38423
1983-08-12,39475
1983-08-19,39109
1983-08-26,39187
1983-09-02,38894
1983-09-09,38858
1983-09-16,37847
1983-09-23,37659
1983-09-30,37298
1983-10-07,36838
1983-10-14,36931
1983-10-21,37295
1983-10-28,37071
1983-11-04,37367
1983-11-11,36812
1983-11-18,36995
1983-11-25,36130
1983-12-02,37801
1983-12-09,36147
1983-12-16,36362
1983-12-23,36917
1983-12-30,36389
1984-01-06,36448
1984-01-13,35951
1984-01-20,38062
1984-01-27,37361
1984-02-03,38326
1984-02-10,37995
1984-02-17,39793
1984-02-24,39424
1984-03-02,38975
1984-03-09,38928
1984-03-16,39613
1984-03-23,40330
1984-03-30,39774
1984-04-06,41009
1984-04-13,40256
1984-04-20,39907
1984-04-27,39710
1984-05-04,39548
1984-05-11,40297
1984-05-18,38081
1984-05-25,39383
1984-06-01,41425
1984-06-08,41849
1984-06-15,41913
1984-06-22,41442
1984-06-29,41909
1984-07-06,41026
1984-07-13,39752
1984-07-20,38842
1984-07-27,38350
1984-08-03,37601
1984-08-10,37659
1984-08-17,37177
1984-08-24,36644
1984-08-31,37504
1984-09-07,38152
1984-09-14,38726
1984-09-21,38848
1984-09-28,38845
1984-10-05,37831
1984-10-12,37752
1984-10-19,37617
1984-10-26,36914
1984-11-02,38239
1984-11-09,38316
1984-11-16,38176
1984-11-23,39104
1984-11-30,40698
1984-12-07,40364
1984-12-14,39399
1984-12-21,38960
1984-12-28,38721
1985-01-04,37116
1985-01-11,36072
1985-01-18,35093
1985-01-25,35730
1985-02-01,35555
1985-02-08,35790
1985-02-15,36546
1985-02-22,36935
1985-03-01,35887
1985-03-08,35472
1985-03-15,35930
1985-03-22,34998
1985-03-29,35051
1985-04-05,33199
1985-04-12,33480
1985-04-19,32265
1985-04-26,32418
1985-05-03,32918
1985-05-10,33894
1985-05-17,32942
1985-05-24,33017
1985-05-31,34782
1985-06-07,35048
1985-06-14,34107
1985-06-21,34215
1985-06-28,33318
1985-07-05,32934
1985-07-12,34821
1985-07-19,35087
1985-07-26,34618
1985-08-02,34755
1985-08-09,35202
1985-08-16,34869
1985-08-23,35472
1985-08-30,34634
1985-09-06,34715
1985-09-13,35118
1985-09-20,35148
1985-09-27,34640
1985-10-04,35441
1985-10-11,34423
1985-10-18,34715
1985-10-25,33532
1985-11-01,34498
1985-11-08,35309
1985-11-15,33685
1985-11-22,33473
1985-11-29,33200
1985-12-06,34536
1985-12-13,33677
1986-01-03,35025
1986-01-10,36722
1986-01-17,37717
1986-01-24,38606
1986-01-31,38153
1986-02-07,39020
1986-02-14,39397
1986-02-21,38742
1986-02-28,37952
1986-03-07,38175
1986-03-14,36745
1986-03-21,36682
1986-03-28,34580
1986-04-04,34915
1986-04-11,33954
1986-04-18,34641
1986-04-25,34196
1986-05-02,33349
1986-05-09,33955
1986-05-16,34735
1986-05-23,33850
1986-05-30,34412
1986-06-06,34156
1986-06-13,34796
1986-06-20,34431
1986-06-27,34834
1986-07-04,34694
1986-07-11,35407
1986-07-18,34729
1986-07-25,35344
1986-08-01,35043
1986-08-08,35312
1986-08-15,35403
1986-08-22,35912
1986-08-29,34726
1986-09-05,35234
1986-09-12,36444
1986-09-19,37119
1986-09-26,39019
1986-10-03,39322
1986-10-10,38973
1986-10-17,37618
1986-10-24,37911
1986-10-31,37193
1986-11-07,37561
1986-11-14,37686
1986-11-21,36207
1986-11-28,37211
1986-12-05,38120
1986-12-12,38286
1986-12-19,36965
1986-12-26,37162
1987-01-02,38670
1987-01-09,39232
1987-01-16,37986
1987-01-23,38384
1987-01-30,39581
1987-02-06,40626
1987-02-13,41303
1987-02-20,41992
1987-02-27,41264
1987-03-06,43278
1987-03-13,43523
1987-03-20,42842
1987-03-27,42276
1987-04-03,42444
1987-04-10,41327
1987-04-17,42431
1987-04-24,41969
1987-05-01,40375
1987-05-08,39117
1987-05-15,38802
1987-05-22,38229
1987-05-29,37883
1987-06-05,38639
1987-06-12,38971
1987-06-19,38727
1987-06-26,38795
1987-07-03,38635
1987-07-10,38300
1987-07-17,38683
1987-07-24,38487
1987-07-31,38694
1987-08-07,39582
1987-08-14,39601
1987-08-21,39457
1987-08-28,37949
1987-09-04,38840
1987-09-11,39841
1987-09-18,39614
1987-09-25,38958
1987-10-02,39236
1987-10-09,38868
1987-10-16,38992
1987-10-23,36499
1987-10-30,37361
1987-11-06,36512
1987-11-13,36632
1987-11-20,36765
1987-11-27,36362
1987-12-04,37317
1987-12-11,37016
