period,refinery_inputs
2025-10-10,640.0
2025-11-07,246.0
2025-05-23,1055.0
2024-08-02,404.0
2026-05-29,116.0
2024-05-03,885.0
2024-09-06,570.0
2025-08-22,751.0
2024-08-30,695.0
2024-07-26,1173.0
2025-03-14,808.0
2026-05-22,435.0
2025-09-19,74.0
2024-11-08,423.0
2025-01-03,-998.0
2024-04-12,977.0
2024-03-01,930.0
2024-02-23,1084.0
2024-07-05,606.0
2025-07-25,732.0
2025-04-18,1211.0
2024-09-20,619.0
2024-09-27,673.0
2025-07-04,511.0
2024-06-28,535.0
2026-01-16,-273.0
2025-01-31,309.0
2026-04-03,755.0
2026-03-27,777.0
2026-01-09,-922.0
2026-01-23,98.0
2024-10-04,591.0
2024-02-16,921.0
2024-07-12,318.0
2025-08-29,583.0
2026-03-13,490.0
2025-12-19,-41.0
2024-08-23,712.0
2026-01-02,-1111.0
2025-08-15,870.0
2025-05-16,694.0
2024-01-26,263.0
2024-01-12,-112.0
2024-02-09,1051.0
2024-10-11,1016.0
2024-01-19,-32.0
2024-05-24,782.0
2025-01-24,176.0
2025-04-25,756.0
2024-02-02,413.0
2024-09-13,576.0
2024-10-18,570.0
2025-02-07,467.0
2024-05-10,825.0
2025-11-21,11.0
2024-06-14,829.0
2024-12-27,-201.0
2023-12-22,233.0
2024-12-13,294.0
2025-06-20,460.0
2025-02-14,314.0
2025-03-28,1260.0
2025-12-26,-298.0
2025-04-04,757.0
2024-12-20,297.0
2025-12-12,-404.0
2024-12-06,-223.0
2026-01-30,-384.0
2026-02-13,463.0
2025-07-18,627.0
2024-04-05,460.0
2025-07-11,230.0
2024-03-29,660.0
2025-08-01,645.0
2025-03-07,618.0
2024-11-15,391.0
2025-01-10,-703.0
2025-08-08,858.0
2025-06-13,443.0
2023-12-08,165.0
2025-06-27,606.0
2025-04-11,866.0
2025-02-28,783.0
2024-05-17,741.0
2024-01-05,-728.0
2025-11-28,-289.0
2023-11-24,422.0
2024-08-09,1127.0
2023-12-01,161.0
2025-06-06,383.0
2024-03-15,770.0
2024-03-08,940.0
2025-02-21,109.0
2026-05-08,768.0
2024-11-01,448.0
2025-09-05,279.0
2024-06-21,625.0
2025-03-21,722.0
2026-04-17,901.0
2025-10-24,1139.0
2023-11-17,513.0
2024-03-22,114.0
2025-11-14,174.0
2026-04-10,618.0
2023-11-03,813.0
2023-11-10,534.0
2025-10-31,788.0
2025-12-05,-520.0
2025-09-12,512.0
2024-08-16,759.0
2026-04-24,994.0
2004-04-09,1854.0
2004-04-16,869.0
2004-04-23,671.0
2004-04-30,973.0
2004-05-07,1042.0
2004-05-14,1017.0
2004-05-21,1067.0
2004-05-28,647.0
2004-06-04,507.0
2004-06-11,523.0
2004-06-18,560.0
2004-06-25,671.0
2004-07-02,666.0
